,model,hyper,metric,value,ts,k
50,surprise_Baseline,"[('reg_i', 20), ('reg_u', 15)]",ndcg@1,0.02988481711885967,2019-12-18 01:54:41.520985,1
51,surprise_Baseline,"[('reg_i', 20), ('reg_u', 15)]",ndcg@2,0.04479858174708002,2019-12-18 01:54:58.340292,2
52,surprise_Baseline,"[('reg_i', 20), ('reg_u', 15)]",ndcg@3,0.054809559843164504,2019-12-18 01:55:15.597232,3
53,surprise_Baseline,"[('reg_i', 20), ('reg_u', 15)]",ndcg@4,0.06279464109484333,2019-12-18 01:55:32.469022,4
54,surprise_Baseline,"[('reg_i', 20), ('reg_u', 15)]",ndcg@5,0.06921893100883984,2019-12-18 01:55:49.657779,5
55,surprise_Baseline,"[('reg_i', 20), ('reg_u', 15)]",ndcg@6,0.07487050094387486,2019-12-18 01:56:06.585854,6
56,surprise_Baseline,"[('reg_i', 20), ('reg_u', 15)]",ndcg@7,0.07993262302727351,2019-12-18 01:56:23.697093,7
57,surprise_Baseline,"[('reg_i', 20), ('reg_u', 15)]",ndcg@8,0.08451449653174152,2019-12-18 01:56:40.460878,8
58,surprise_Baseline,"[('reg_i', 20), ('reg_u', 15)]",ndcg@9,0.08884999571128185,2019-12-18 01:56:57.689793,9
59,surprise_Baseline,"[('reg_i', 20), ('reg_u', 15)]",ndcg@10,0.09295524312705676,2019-12-18 01:57:14.442533,10
60,PureRandom,"[('random_state', 42)]",ndcg@1,0.005367069196856429,2019-12-18 04:20:18.894913,1
61,PureRandom,"[('random_state', 42)]",ndcg@2,0.008527929742830152,2019-12-18 04:20:36.399555,2
62,PureRandom,"[('random_state', 42)]",ndcg@3,0.011246315439939251,2019-12-18 04:20:54.032023,3
63,PureRandom,"[('random_state', 42)]",ndcg@4,0.013355157387046153,2019-12-18 04:21:11.103238,4
64,PureRandom,"[('random_state', 42)]",ndcg@5,0.015421311488452173,2019-12-18 04:21:28.444026,5
65,PureRandom,"[('random_state', 42)]",ndcg@6,0.017199647332919517,2019-12-18 04:21:45.410596,6
66,PureRandom,"[('random_state', 42)]",ndcg@7,0.018840553229144567,2019-12-18 04:22:02.990960,7
67,PureRandom,"[('random_state', 42)]",ndcg@8,0.020420983502131427,2019-12-18 04:22:19.819496,8
68,PureRandom,"[('random_state', 42)]",ndcg@9,0.021892377960523526,2019-12-18 04:22:37.198353,9
69,PureRandom,"[('random_state', 42)]",ndcg@10,0.02336825218484509,2019-12-18 04:22:53.846406,10
70,FMItem,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'Item'), ('n_iter', 100), ('rank', 2)]",ndcg@1,0.01359192848554551,2019-12-18 07:38:19.636635,1
71,FMItem,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'Item'), ('n_iter', 100), ('rank', 2)]",ndcg@2,0.020479855901380416,2019-12-18 07:38:46.882639,2
72,FMItem,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'Item'), ('n_iter', 100), ('rank', 2)]",ndcg@3,0.02576851012620486,2019-12-18 07:39:14.191955,3
73,FMItem,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'Item'), ('n_iter', 100), ('rank', 2)]",ndcg@4,0.03011752759363705,2019-12-18 07:39:41.468970,4
74,FMItem,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'Item'), ('n_iter', 100), ('rank', 2)]",ndcg@5,0.034071196045430296,2019-12-18 07:40:08.718785,5
75,FMItem,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'Item'), ('n_iter', 100), ('rank', 2)]",ndcg@6,0.03745717232171981,2019-12-18 07:40:36.310678,6
76,FMItem,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'Item'), ('n_iter', 100), ('rank', 2)]",ndcg@7,0.04062862230168041,2019-12-18 07:41:03.914515,7
77,FMItem,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'Item'), ('n_iter', 100), ('rank', 2)]",ndcg@8,0.043764745678163894,2019-12-18 07:41:31.743019,8
78,FMItem,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'Item'), ('n_iter', 100), ('rank', 2)]",ndcg@9,0.046605245140621386,2019-12-18 07:41:59.191098,9
79,FMItem,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'Item'), ('n_iter', 100), ('rank', 2)]",ndcg@10,0.049514178125419,2019-12-18 07:42:26.735133,10
80,FMNone,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'None'), ('n_iter', 100), ('rank', 8)]",ndcg@1,0.014227961036471672,2019-12-18 07:56:51.286181,1
81,FMNone,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'None'), ('n_iter', 100), ('rank', 8)]",ndcg@2,0.022567135729066688,2019-12-18 07:57:18.889139,2
82,FMNone,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'None'), ('n_iter', 100), ('rank', 8)]",ndcg@3,0.028648652448881286,2019-12-18 07:57:45.879678,3
83,FMNone,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'None'), ('n_iter', 100), ('rank', 8)]",ndcg@4,0.0336093091287306,2019-12-18 07:58:12.701950,4
84,FMNone,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'None'), ('n_iter', 100), ('rank', 8)]",ndcg@5,0.037819140242362104,2019-12-18 07:58:39.690732,5
85,FMNone,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'None'), ('n_iter', 100), ('rank', 8)]",ndcg@6,0.04167375301518666,2019-12-18 07:59:06.287327,6
86,FMNone,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'None'), ('n_iter', 100), ('rank', 8)]",ndcg@7,0.04499912868098783,2019-12-18 07:59:33.438560,7
87,FMNone,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'None'), ('n_iter', 100), ('rank', 8)]",ndcg@8,0.04815449207818596,2019-12-18 08:00:00.115181,8
88,FMNone,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'None'), ('n_iter', 100), ('rank', 8)]",ndcg@9,0.05102384241237658,2019-12-18 08:00:27.180951,9
89,FMNone,"[('l2_reg_V', 1), ('l2_reg_w', 1), ('model_info_used', 'None'), ('n_iter', 100), ('rank', 8)]",ndcg@10,0.053887441376631894,2019-12-18 08:00:53.804151,10
90,BPR,"[('factors', 16), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@1,0.06523311231735687,2019-12-18 07:51:42.829660,1
91,BPR,"[('factors', 16), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@2,0.0932138433749986,2019-12-18 07:52:10.560294,2
92,BPR,"[('factors', 16), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@3,0.11110568204785719,2019-12-18 07:52:37.923441,3
93,BPR,"[('factors', 16), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@4,0.12419412475267452,2019-12-18 07:53:04.796126,4
94,BPR,"[('factors', 16), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@5,0.1345586911772362,2019-12-18 07:53:32.115372,5
95,BPR,"[('factors', 16), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@6,0.1431649185116314,2019-12-18 07:54:02.128447,6
96,BPR,"[('factors', 16), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@7,0.1505621286568747,2019-12-18 07:54:29.743686,7
97,BPR,"[('factors', 16), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@8,0.1569196366073977,2019-12-18 07:54:57.115100,8
98,BPR,"[('factors', 16), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@9,0.16246429790259495,2019-12-18 07:55:24.629524,9
99,BPR,"[('factors', 16), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.001)]",ndcg@10,0.16738308198769195,2019-12-18 07:55:51.723701,10
