dataset,model,hyper,metric,value,fold,path,ts
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.01)]",rmse,0.9220750429681833,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.005-regularization_0.01/Rating_fold_-1.parquet,2019-12-15 23:52:27.036794
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.2), ('l2_reg_w', 0.2), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 2)]",ndcg@10,0.04594789541483709,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.2-l2_reg_w_0.2-model_info_used_Item-n_iter_50-rank_2/Ranking_fold_-1.parquet,2019-12-16 00:02:03.150765
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.2), ('l2_reg_w', 0.2), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 2)]",precision@10,0.00977747573492254,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.2-l2_reg_w_0.2-model_info_used_Item-n_iter_50-rank_2/Ranking_fold_-1.parquet,2019-12-16 00:02:03.151525
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.2), ('l2_reg_w', 0.2), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 2)]",rmse,4.534964454104318,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.2-l2_reg_w_0.2-model_info_used_Item-n_iter_50-rank_2/Rating_fold_-1.parquet,2019-12-16 00:02:03.755584
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.005)]",ndcg@10,0.02018162261613286,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.001-regularization_0.005/Ranking_fold_-1.parquet,2019-12-16 00:03:36.943938
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.005)]",precision@10,0.00392252533261307,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.001-regularization_0.005/Ranking_fold_-1.parquet,2019-12-16 00:03:36.944446
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.005)]",rmse,0.9936331188861303,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.001-regularization_0.005/Rating_fold_-1.parquet,2019-12-16 00:03:36.956273
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.0001), ('regularization', 0.005)]",ndcg@10,0.01033324921420793,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.0001-regularization_0.005/Ranking_fold_-1.parquet,2019-12-16 00:14:45.374550
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.0001), ('regularization', 0.005)]",precision@10,0.0023969051954728015,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.0001-regularization_0.005/Ranking_fold_-1.parquet,2019-12-16 00:14:45.375204
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.0001), ('regularization', 0.005)]",rmse,1.000453114528342,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.0001-regularization_0.005/Rating_fold_-1.parquet,2019-12-16 00:14:45.388412
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.01), ('l2_reg_w', 0.01), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 4)]",ndcg@10,0.018804896997080694,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.01-l2_reg_w_0.01-model_info_used_Item-n_iter_50-rank_4/Ranking_fold_-1.parquet,2019-12-16 00:19:04.463078
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.01), ('l2_reg_w', 0.01), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 4)]",precision@10,0.004229180824925509,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.01-l2_reg_w_0.01-model_info_used_Item-n_iter_50-rank_4/Ranking_fold_-1.parquet,2019-12-16 00:19:04.463796
user_10_item_1_exp,FMItem,"[('l2_reg_V', 0.01), ('l2_reg_w', 0.01), ('model_info_used', 'Item'), ('n_iter', 50), ('rank', 4)]",rmse,7.806142276165562,-1,/home/data/log/user_10_item_1_exp/FMItem/l2_reg_V_0.01-l2_reg_w_0.01-model_info_used_Item-n_iter_50-rank_4/Rating_fold_-1.parquet,2019-12-16 00:19:04.474439
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.005)]",ndcg@10,0.11993907919988248,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.005-regularization_0.005/Ranking_fold_-1.parquet,2019-12-16 00:25:57.993819
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.005), ('regularization', 0.005)]",precision@10,0.02339487510128687,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.005-regularization_0.005/Ranking_fold_-1.parquet,2019-12-16 00:25:57.994416
